TaxonId,Organismgrupp,Svenska,Latin,R20,ÅGP,Tu,Si,N2,AD,FD,ASF,0.5,PFS,Ca,SV,Sk,Information
1874,Kärlväxter,skånskt oxbär,Cotoneaster kullensis,Sårbar VU,,,,,,,,,,,0-0,,"Rödlistekriterium 2020: B1ab(iii,v)+2ab(iii,v); D1"
1876,Kärlväxter,alpdraba,Draba fladnizensis,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
1877,Kärlväxter,blekdraba,Draba oxycarpa,Nära hotad NT,,,,,,,,,,,0-0,,Rödlistekriterium 2020: B2a
1878,Kärlväxter,raggdraba,Draba subcapitata,Starkt hotad EN,,,,,,,8§,,,,MH-0,,"Rödlistekriterium 2020: D

Raggdraba (Draba subcapitata) är fridlyst enligt 8 § i hela landet.

Signalvärde: Mycket högt"
1879,Kärlväxter,trollsmultron,Drymocallis rupestris,Sårbar VU,,,,x,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(iii,v); C1+2a(i)

Kalkgräsmarker (6210)

Signalvärde: Högt"
1885,Kärlväxter,klockgentiana,Gentiana pneumonanthe,Starkt hotad EN,x,,,x,,,8§,,,,H-H,,"Rödlistekriterium 2020: A2bc

Fukthedar (4010)

Klockgentiana (Gentiana pneumonanthe) är fridlyst enligt 8 § i hela landet.

Signalvärde: Högt"
1887,Kärlväxter,kärrjohannesört,Hypericum tetrapterum,Nära hotad NT,,,,,,,,,,,H-H,,"Rödlistekriterium 2020: B2ab(iii,v)

Signalvärde: Högt

Kärrjohannesört är en indikatorart för extremrikkärr, kalkfuktängar och kalkpåverkade stränder, en ofta mycket artrik miljö."
1888,Kärlväxter,tofsäxing,Koeleria glauca,Starkt hotad EN,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: A2b; B2ab(iii,v)

Sandstäpp (6120)"
1889,Kärlväxter,stickelfrö,Lappula deflexa,Nära hotad NT,,,,x,,,,,,,0-0,,"Rödlistekriterium 2020: B2a

Silikatrasmarker (8110)"
1895,Kärlväxter,strandlummer,Lycopodiella inundata,Nära hotad NT,,,,x,,,9§,,,,0-0,,"Rödlistekriterium 2020: A2b

Fukthedar (4010)

Lummerväxter: samtliga arter av släktet Lycopodium är fridlysta enligt 8 § i Blekinge län och samtliga arter av familjen Lycopodiaceae är fridlysta enligt 9 § i hela landet."
1896,Kärlväxter,rödlånke,Lythrum portula,Nära hotad NT,,,,,,,,,,,L-V,,"Rödlistekriterium 2020: A2bc; B2ab(ii,iii,iv,v)

Signalvärde: Lågt-Visst"
1897,Kärlväxter,korskovall,Melampyrum cristatum,Nära hotad NT,,,,x,,,,,,,P-P,,"Rödlistekriterium 2020: A2b

Trädklädd betesmark (9070)

Signalvärde: Påtagligt"
1898,Kärlväxter,klådris,Myricaria germanica,Nära hotad NT,x,,,,,,8§,,,,0-0,,"Rödlistekriterium 2020: B2ab(ii,iii,v)

Klådris (Myricaria germanica) är fridlyst enligt 8 § i Västernorrlands län."
